திருக்குற்றாலக் குறவஞ்சி சொல்லடைவு
அபிமானம் - 306.4 
அபிஷேகம் - 94.1; 102.1 
அபிஷேகப்பேரி - 273.4 
அம் - 12.2; 155.3; 157.1; 274.2; 297.1 
அம்பல - 223.2 
அம்பலத்துக்கும் - 282.1 
அம்பலம் - 281.3 
அம்பிகை - 315.4; 410.1 
அம்பு - 335.1 
அம்புலியை - 137.2 
அம்பொடு - 155.3 
அம்மா - 51.4; 76.4 
அம்மி - 339.1 
அம்மே - 125.2,2; 141.1,2; 142.1,2; 143.1,2; 144.2; 145.1,2; 146.1,2; 147.1,2; 148.2; 152.2; 163.2; 164.2; 170.2; 179.2; 181.1; 184.2; 188.2; 190.2; 191.2; 192.2; 194.1,3; 199.1,2; 200.1,2; 201.1,2; 202.1,2; 203.1,1,1,2; 204.1,2; 205.1,2; 206.1,2; 207.4; 208.1,2; 209.1,2; 210.1,2; 211.1,2; 213.1; 224.4; 225.1; 228.2; 234.1; 239.1; 240.1; 244.2; 247.2 
அமரர்நாயகன் - 12.3 
அமரருக்கும் - 92.3 
அமலர் - 253.1 
அமலனை - 118.2 
அமிழ்த்துவார் - 59.4 
அமுதம் - 84.3,4; 219.2 
அமுதுடன் - 63.1 
அமுதை - 38.1 
அமைந்திடாரோ - 67.3 
அயன் - 8.4; 17.1,1; 44.4; 166.1; 278.3; 406.1 
அயன்கூட - 163.1 
அயனார்க்கும் - 188.1 
அயனும் - 6.2 
அயிரையும் - 277.4 
அரக்கும் - 346.3 
அரங்குவீட்டில் - 114.1 
அரசர் - 410.3 
அரசிலே - 371.1 
அரசு - 9.2 
அரசே - 223.7; 225.2; 240.2 
அரண்மனைகு - 37.2 
அரம்பை - 34.1; 115.25 
அரவம் - 17.2; 224.1 
அரவு - 137.1 
அரன் - 406.1 
அரி - 6.2; 284.2; 406.1 
அரிகூட - 163.1 
அரிதாய் - 163.1 
அரிது - 192.2 
அரிய - 321.3; 403.2 
அரியலூர் - 320.3 
அரியார் - 254.1 
அருகில் - 61.1 
அருகே - 302.1 
அரும் - 166.2 
அரும்பு - 33.3; 379.1 
அருவி - 109.1; 133.1; 173.1; 303.3; 326.3; 353.1; 408.2 
அருவியான் - 397.3 
அருவியில் - 315.2 
அருள் - 52.1; 101.1; 115.15; 151.1; 223.9; 249.1 
அருள்வார் - 92.1,1,2 
அருளி - 102.2 
அருளும் - 104.1 
அருளை - 128.1 
அரைக் - 300.3 
அரைஞாணடா - 372.2,2 
அரையில் - 21.1 
அல்குல் - 154.2 
அல்ல - 71.1,2; 235.2,2 
அல்லவோ - 79.3; 378.1; 390.2 
அல்லாமல் - 69.4 
அல்லார்க்கும் - 190.2 
அலங்கார - 214.2 
அலங்காரம் - 154.2 
அலங்காரர் - 132.1 
அலர் - 135.2; 175.1; 308.1 
அலைந்த - 326.3 
அலையும் - 166.2 
அவ் - 92.2 
அவட்கு - 248.1 
அவர் - 73.3; 76.1; 79.1; 80.3; 157.3; 169.1 
அவரவர் - 154.2 
அவல் - 209.2 
அவள் - 69.3; 309.3; 331.1; 335.2; 336.1; 337.2; 348.4 
அவளாக - 309.8 
அவளினும் - 119.2 
அவளை - 319.1 
அவன் - 54.3; 228.1; 233.1; 236.1; 238.1; 239.1; 240.1 
அவனி - 6.1; 13.2 
அவனை - 234.1 
அவிக்கிலார் - 83.2 
அவிடம் - 171.1 
அவித்தவர் - 83.1 
அவித்து - 291.2 
அழகப்ப - 284.1 
அழகர்பள்ளம் - 303.2 
அழகனுமாய் - 344.3 
அழகி - 334.1 
அழகிய - 111.1 
அழகியடா - 333.1,1 
அழகு - 35.2; 59.3; 223.2; 275.4 
அழகும் - 51.1; 73.3; 337.2,2,2 
அழகை - 35.1 
அழித்த - 312.1 
