திருக்குற்றாலக் குறவஞ்சி சொல்லடைவு
குறுக்கிடவே - 348.3 
குறுகிய - 363.1 
குறுங்கை - 321.3 
குறும் - 43.3 
குறும்பலவர் - 211.2 
குறும்பலவில் - 136.1 
குறும்பலா - 6.1; 175.1; 398.1 
குறும்பலாவிலே - 81.3 
குறும்பலாவினார் - 61.3 
குறும்பலாவினில் - 111.2; 113.2 
குறும்பலா_உடையார் - 223.1 
குறும்பால் - 115.26; 290.2 
குறும்பும் - 283.1 
குறுமுனி - 113.1 
குறுமுனிக்கா - 4.2 
குறுமுனிவன் - 410.2 
குறைந்தாய் - 65.2 
குறைவைப்பாயோ - 198.2 
குன்ற - 75.3 
குன்றக்குடி - 274.3 
குன்றத்தை - 383.1 
குன்றமாய் - 179.1 
குன்றி - 120.1; 331.1 
குன்றிமணி - 116.3 
குன்றியும் - 115.20 
குன்றில் - 120.1 
கூட்டம் - 304.4 
கூட்டமும் - 7.1,1,1,2; 268.2 
கூட்டரவும் - 169.1 
கூட்டிவா - 319.4 
கூட்டுவிக்கும் - 338.4 
கூட - 313.2; 406.1 
கூடமலை - 206.2 
கூடல் - 109.4; 114.2,3 
கூடலிங்கர் - 66.4 
கூடலே - 111.2; 113.2 
கூடலை - 267.3 
கூடவும் - 243.2 
கூடாது - 89.2; 105.2 
கூடாய் - 111.2; 113.2 
கூடி - 62.3; 106.2; 268.3; 286.3; 291.2; 313.4; 331.3 
கூடிக்கூடி - 47.2 
கூடிக்கொள்ள - 353.3 
கூடியிருக்க - 339.2 
கூடியிருப்பார்களை - 339.2 
கூடினான் - 326.4 
கூடும் - 267.3 
கூடுவராம் - 111.2; 113.2 
கூடை - 114.3; 116.2 
கூடையும் - 115.21 
கூத்தன்மூலை - 303.2 
கூத்தாடிக்கொண்டானே - 354.4 
கூத்துடையார் - 275.1 
கூதலோ - 351.3 
கூந்தல் - 249.1 
கூர் - 193.2 
கூலி - 338.4 
கூவ - 263.3 
கூவாதது - 309.2 
கூவிக்கூவி - 352.2 
கூவிக்கொண்டு - 261.1 
கூவினான் - 303.4 
கூவும் - 309.1 
கூழ் - 201.1 
கூழை - 156.2; 217.4 
கூழைக்கடாக்களும் - 265.4 
கூளி - 253.4 
கூற - 1.2; 181.1 
கூறாகிலும் - 300.4 
கூறினால் - 397.2 
கூறும் - 53.3 
கூனல் - 132.1 
கூனி - 292.2 
கூனை - 59.4 
கெச்சமடா - 366.2,2 
கெஞ்சும் - 129.2 
கெண்டை - 41.1 
கெண்டையாள் - 33.2 
கெம்பாறடையே - 298.1,1; 299.1 
கெளரி - 14.4 
கேகயப்பட்சியும் - 268.2 
கேட்க - 297.4 
கேட்கவேணும் - 182.2 
கேட்கில் - 182.1 
கேட்கும் - 253.1 
கேட்டதும் - 197.4 
கேட்டல்லோ - 299.3 
கேதனம் - 13.4; 67.4 
கேதாரம் - 320.2 
கேள் - 92.4; 164.2; 181.1 
கேளடா - 392.2 
கேளாமலும் - 344.2 
கேளாய் - 73.2; 168.2; 193.2; 225.1,1,2; 226.2 
கேளாயோ - 79.1 
கேளே - 163.4; 224.4 
கை - 12.2; 15.2; 20.1,1; 26.1; 27.1; 31.1; 68.1; 109.3; 115.39; 163.3; 217.2; 350.1 
கைக்கான - 250.3 
கைக்குள் - 345.4 
கைக்குறி - 222.1 
கைக்குறியும் - 345.2 
கைகலக்கும் - 348.2 
கைகொண்டு - 48.3 
கைச்சுருள் - 330.3 
கைதப்பி - 313.1 
கைந்நரம்பு - 255.2 
கைந்நொடியில் - 247.1 
கைப்படு - 223.24 
கைப்பலனாம் - 115.37 
கைப்பிடிப்பவர்தாம் - 222.1 
கைப்பிரம்புமாக - 1.3 
கைம் - 76.2; 223.26 
கைம்மலர் - 212.4 
கையத்தனை - 335.1 
கையா - 58.4 
கையில் - 51.1; 55.4; 58.3; 73.4; 83.3,4; 251.3; 289.1 
கையிலே - 258.3 
கையுமா - 22.2 
கையுமான - 316.2 
கையே - 218.1,2; 219.1,2; 220.1,2; 221.1,2 
கையை - 213.1,2; 214.1,2; 215.1,2; 216.2 
கைவீச்சும் - 336.1 
கைவேழம் - 92.3 
கொக்காகிலும் - 300.4 
கொக்கிறகு - 250.1; 252.1; 289.4 
கொக்கு - 267.2; 289.2; 291.2,4; 292.2; 301.4; 317.2; 391.2 
கொக்குக்கு - 251.3 
கொக்கும் - 290.4; 302.1 
கொக்கை - 291.2 
கொகுகு - 314.1 
கொங்கண - 319.4 
கொங்கணம் - 115.31 
கொங்கு - 175.1; 195.1 
கொங்கை - 40.3; 161.3 
கொங்கைக்கு - 331.2 
கொங்கையாள் - 36.2 
கொங்கையான - 83.3 
கொங்கையின் - 286.2 
கொச்சி - 195.1 
கொஞ்சத் - 154.3 
கொஞ்சத்தனத்தை - 329.2 
கொஞ்சி - 116.4; 286.3 
கொஞ்சும் - 129.1 
கொட்ட - 148.1 
கொட்டக்கொட்ட - 75.2 
கொட்டகை - 262.1 
கொட்டழகு - 275.1 
கொட்டிக்கொண்டு - 310.4 
கொட்டிய - 115.29 
கொடி - 38.3; 127.2; 383.1 
கொடிக்கு - 383.2 
கொடிக்கும் - 187.2 
கொடிகளின் - 13.3 
கொடிது - 351.3 
கொடிய - 44.1 
கொடியான் - 115.11 
கொடியிலே - 377.1 
கொடியின் - 153.1 
கொடியே - 72.3; 78.1; 180.3; 193.2 
கொடு - 75.4 
கொடுக்கிலார் - 84.4 
கொடுத்த - 8.3,3,4; 62.1; 362.2,2 
கொடுத்தவர் - 84.3 
கொடுத்தாள் - 56.3 
கொடுத்து - 129.1 
கொடுத்தோம் - 151.1,2; 152.1 
கொடுப்பது - 8.1 
கொடுப்பேனோ - 386.2 
கொடுபோனார் - 290.1 
கொடுபோனான் - 290.4 
கொடும் - 40.3; 62.4 
கொடுவா - 209.1 
கொடை - 136.1 
கொடோம் - 149.1 
கொண்ட - 1.1,2,3,4; 56.4; 68.3; 83.1; 159.1; 217.2,3; 289.2; 291.1 
கொண்டல் - 115.14; 155.3 
கொண்டாட - 42.2 
கொண்டாடி - 354.4,4 
கொண்டார் - 291.3,3 
கொண்டால் - 68.4 
கொண்டாள் - 329.4 
கொண்டாளே - 56.4 
கொண்டான் - 27.1 
கொண்டு - 36.4; 56.3; 59.4; 102.2; 104.1; 128.2; 133.2; 198.1; 250.3; 252.2; 259.1; 260.1,1; 292.3; 329.1 
கொண்டுபோச்சுது - 289.2 
கொண்டுவா - 201.1 
கொண்டுவாடா - 287.1,1; 288.1 
கொண்டைக்குலாத்தியும் - 267.1 
கொண்டையாள் - 33.1 
கொத்தி - 292.2; 310.3 
கொத்தியே - 277.4 
கொத்து - 14.1; 161.2; 162.3; 356.1 
கொதிக்குது - 330.4 
கொதிக்கும் - 90.1 
கொந்து - 44.1; 282.3 
கொப்படா - 377.2 
கொப்பழகு - 107.1 
கொப்புளம் - 373.2,2 
கொம்பு - 134.2; 329.1 
கொம்பே - 72.3 
கொம்மை - 125.1 
கொய்யும் - 274.4 
கொல்லத்து - 197.1 
கொல்லிமலை - 119.2; 145.1 
கொல்லையின் - 161.3 
கொல்லோ - 341.2 
கொலு - 92.3; 96.2 
கொலுமண்டபம் - 281.1 
கொலுவிருக்கும் - 81.3 
கொலுவிருப்பார் - 105.1 
கொலுவில் - 93.2; 97.2; 104.1 
கொலை - 116.2 
கொழிக்கும் - 115.5; 172.2 
கொழித்த - 34.4 
கொழித்துச் - 115.7 
கொழுத்த - 174.2 
கொழுநனுகு - 145.2 
கொழும் - 156.2 
கொழும்பு - 195.2 
கொள்வாய் - 198.1 
கொள்வானேன் - 373.2,2 
கொள்ளோம் - 149.1 
கொற்ற - 115.14; 183.1; 398.1 
கொன்றை - 9.3; 115.16; 297.1 
கோகரணம் - 320.2 
கோகனக - 66.3 
கோகிலம் - 126.1 
கோட்கார - 259.2 
கோட்டி - 15.3; 90.3 
கோட்டு - 153.1 
கோட்டை - 195.3 
கோடாங்கி - 115.29 
கோடி - 16.2,2; 137.1; 159.1; 281.3 
கோடிகளை - 115.13 
கோடிப்பாம்பு - 385.2 
கோடிய - 111.1 
கோடியில் - 7.4 
கோடு - 121.2 
கோயில் - 107.2; 271.2 
கோரத்தை - 329.2 
கோல - 101.1; 115.16; 126.2; 223.11; 323.1,3 
கோலக்கொண்டை - 320.2 
கோலத்து - 362.1 
கோலமிடு - 208.1 
கோவில் - 281.1; 303.4 
கோவிலில் - 254.2 
கோன் - 304.2 
கோனை - 400.1 
சக்கதேவி - 224.2 
சகம் - 35.3 
சகல - 11.4; 12.1; 85.3; 142.2; 158.1 
சகலர்க்கும் - 341.3 
சகி - 69.3 
சகிமார் - 44.3 
சகியாய் - 72.2 
சகியே - 93.2; 94.2; 95.2; 96.2; 97.2; 98.2; 99.2; 100.2; 101.2; 102.2; 103.2; 104.2; 105.2; 106.2; 107.2; 108.2 
சகோதரன் - 279.2; 282.3 
சகோரமும் - 268.1 
சகோரமே - 309.5 
சங்க - 32.1; 48.1; 56.2; 74.3; 78.3; 174.1; 195.3; 215.2; 399.2 
சங்கக்குழையாரை - 74.3 
சங்கத்தார் - 197.4 
சங்கதம் - 40.2 
சங்கம் - 17.2; 56.2; 114.1; 257.1; 332.1 
சங்கமும் - 74.4 
சங்கர் - 332.1 
சங்கர - 101.1 
சங்கரமூர்த்தி - 285.3 
சங்கீத - 328.2 
சங்கு - 43.3; 162.2; 174.1 
சங்கும் - 269.1 
சங்குமுத்து - 282.4; 284.4; 305.2 
சங்குமுத்துநம்பி - 304.3 
சங்கை - 350.2 
சஞ்சீவி - 124.2; 169.2 
சஞ்சீவியே - 216.2 
சட்டியில் - 291.2 
சடை - 27.2; 71.1; 118.2; 289.4 
சடைகொண்டான் - 56.3 
சடைத்தம்பிரான்பிச்சை - 285.4 
சடையானை - 398.1 
சடையில் - 337.1 
சடையின் - 51.3 
சடையும் - 73.3 
சண்பக - 135.2 
சத்தத்தை - 299.3 
சத்தி - 14.4; 38.3 
சத்திபீடத்து - 216.1 
சத்திரம் - 283.3 
சத்துரு - 70.2 
சதிபண்ணி - 315.1 
சதுர் - 199.1 
சதுரயுகம் - 176.2 
சந்த - 21.2; 128.3 
சந்தடியில் - 44.3 
சந்தன - 60.1; 271.1 
சந்தனம் - 331.2 
சந்தனமும் - 138.2 
சந்தி - 278.4 
சந்திர - 43.3 
சந்திரசூடர் - 156.4 
சந்திரரும் - 79.4 
சந்தேகமோ - 392.2 
சந்நிதி - 223.2; 366.1 
சநு - 28.2 
சபேசர்மேலே - 346.1 
சபை - 115.27 
சம்பந்தமூர்த்திக்கு - 267.4 
சம்பிரதி - 306.4 
சமணர் - 12.1 
சமணரை - 267.3 
சமயம் - 107.2 
சமயமல்ல - 94.2 
சமயமறியாமல் - 97.2 
சமயமும் - 12.1 
சமனிக்கும் - 115.27 
சயில - 142.1 
சர்க்கரைப்பண்டாரம் - 285.1 
சர்க்கரையோடு - 209.2 
சரக்கு - 202.2 
சரணம் - 223.4 
சரணினர் - 120.4 
சரம் - 205.1 
சரி - 55.4 
சரிய - 44.1 
சருவாபரணம் - 248.2 
சல்லா - 370.1 
சல்லாப - 32.1 
சல்லாபக்காரியை - 328.2 
சலவை - 115.21 
சலவையின் - 121.2 
சலவையோ - 223.19 
சலாபத்து - 379.2 
சலுகைக்காரர்க்கு - 89.4 
சவடியடா - 376.2,2 
சவரிப்பெருமாள் - 279.2 
சவுந்தரி - 40.4; 41.4 
சற்றுத் - 309.5 
சற்றே - 386.1; 388.1 
சன்னதியின் - 79.3 
சன்னநேரிப்பற்றும் - 272.4 
சன்னிதி - 86.3 
சன்னையாக - 238.1 
சனங்கள் - 220.1 
சனங்களை - 278.2 
சாட்சி - 197.4 
சாட்டி - 338.1 
சாட்டை - 338.1 
சாடவே - 121.1 
சாடு - 138.1 
சாத்தனேரிப்பற்றும் - 272.4 
சாத்திய - 115.21 
சாத்திர - 127.1 
சாதிப்பாயானால் - 238.1 
சாபம் - 85.1,2 
சாமரை - 11.3 
சாமிமலை - 147.1 
சாய்க்கும் - 258.1 
சாய்த்த - 292.1 
சாய்ந்து - 156.3 
சாய - 156.2; 263.1 
சாயலினால் - 310.1 
சாயலை - 309.3 
சாயினும் - 270.1,1; 271.1 
சாயுது - 269.4 
சாயும் - 139.2 
சாரல் - 116.3; 326.3 
சாரலிலே - 163.3; 288.1 
சாரியாய் - 267.2 
சாரைப்பாம்பு - 371.2,2 
சாலை - 281.1 
சாலையும் - 283.3 
சாற்றும் - 257.2; 341.3 
சாறாக - 291.3 
சிக்குது - 301.4 
சிகரம் - 174.2 
சிகை - 250.1; 256.2 
சிங்கம் - 332.3 
சிங்களம் - 195.2 
சிங்கன் - 249.4; 250.4,4; 252.4,4; 253.4; 258.2; 262.2; 263.4; 303.3; 308.2; 320.3; 326.3; 347.1; 348.3; 354.2 
சிங்கனுகு - 292.3 
சிங்கனும் - 257.2 
சிங்கனை - 261.2 
சிங்கா - 316.4; 317.3; 319.3; 332.3; 341.2; 356.2; 358.2; 360.2; 362.2; 364.2; 366.2; 368.2; 370.2; 372.2; 374.2; 376.2; 377.2; 378.2; 379.2; 380.2; 381.2; 382.2; 383.2; 384.2; 385.2; 386.2; 387.2; 388.2; 389.2; 390.2; 391.2; 392.2; 393.2; 394.2; 395.2; 396.2 
சிங்கார - 29.2; 329.4; 377.2 
சிங்கி - 198.1; 251.1; 308.4; 310.1; 319.4; 320.3; 321.4; 326.4; 329.4; 332.3; 333.1; 334.1; 335.2; 338.3; 339.4; 340.4; 341.4; 342.1; 344.4; 348.3; 354.2; 355.2; 357.2; 359.2; 361.2; 363.2; 365.2; 367.2; 369.2; 371.2; 373.2; 375.2; 377.1; 378.1; 379.1; 380.1; 381.1; 382.1; 383.1; 384.1; 385.1; 386.1; 387.1; 388.1; 389.1; 390.1; 391.1; 392.1; 393.1; 394.1; 395.1; 396.1 
சிங்கிகுளம் - 321.2 
சிங்கியாரே - 350.2 
சிங்கியை - 249.4; 309.2; 317.4; 318.4; 322.4; 323.4; 325.4; 327.1,1; 328.1; 347.3 
சிட்டும் - 268.3 
சித்தம் - 38.4 
சித்தர் - 49.1; 130.2 
சித்தரை - 48.4 
சித்தரொடு - 98.1 
சித்திர - 215.1; 346.1 
சித்திரசபையார் - 254.1 
சித்திரநதி - 254.1 
சித்திரமண்டபம் - 283.3 
சித்திரா - 115.4 
சித்துக்கு - 53.2 
சித்தும் - 340.3 
சித்ரசபை - 404.2 
சித்ரசபையை - 196.3 
சித்ரநதி - 164.1 
சிதம்பரம் - 320.1 
சிந்தி - 74.4 
சிந்தின - 223.29 
சிந்து - 129.2 
சிந்தூர - 71.2 
சிந்தை - 77.1 
சிந்தையில் - 223.18 
சிமிட்டும் - 115.24 
சிரநதி - 172.2 
சிரநதியிடதானை - 404.1 
சிராப்பள்ளி - 195.3; 320.4 
சிரித்தது - 316.4 
சிரித்தனை - 316.4 
சில்லிக்கோல் - 250.3 
சில - 256.3 
சிலந்தியில் - 373.1 
சிலபேர் - 98.2; 99.2 
சிலம்பில் - 4.3 
சிலம்பு - 4.3; 15.4; 40.2; 360.2,2 
சிலம்புக்கு - 361.1 
சிலை - 41.2; 75.4; 116.1; 155.2; 260.2 
சிலைகள் - 15.3 
சிலையாளர் - 3.1; 75.3 
சிலையை - 33.4 
சிலைவேளை - 92.1 
சிவ - 158.2 
சிவகணங்கள் - 98.1 
சிவசமயப் - 346.1 
சிவசயிலம் - 321.4 
சிவந்த - 198.4 
சிவப்பழகும் - 51.1; 54.3 
சிவப்பின் - 207.2 
சிவமதுகங்கை - 167.2 
சிவமதுகங்கையின் - 168.1 
சிவமான - 315.3 
சிவராமநம்பி - 101.2; 304.2 
சிவராமன் - 306.4 
சிவலிங்கம் - 165.2 
சிவன் - 159.3 
சிவனுமாய் - 6.2 
சிவிகை - 11.2 
சிற்றம்பலம் - 274.2 
சிற்றாற்றங்கரையானை - 407.1 
சிற்றாற்று - 271.2 
சிற்றிலை - 133.2 
சிற்றூர் - 321.2 
சிற்றொடு - 196.2 
சிறந்த - 180.1 
சிறப்பும் - 95.2 
சிறிது - 164.2 
சிறிய - 36.4 
சிறு - 8.2; 42.2; 70.3; 75.1; 76.3; 112.1; 120.2; 302.4 
சிறுகால - 278.4 
சின்ன - 37.1,4 
சின்னங்கள் - 154.1 
சின்னணஞ்சாத்தேவன் - 196.3 
சின்னணைஞ்சேந்த்ரன் - 278.4; 280.1 
சின்னத்துரை - 85.2 
சின்னம் - 12.4; 69.2 
சீகாழி - 320.1 
சீத - 348.1 
சீதரன் - 307.2 
சீதனமா - 151.2 
சீர் - 193.4; 272.2; 328.1; 372.1 
சீர்த் - 4.2 
சீரங்கம் - 320.3 
சீராடி - 331.3 
சீராடும் - 354.2 
சீராய் - 269.2 
சீராளன் - 305.1 
சீரான - 284.4 
சீலன் - 278.4 
சீவலநல்லூர் - 274.2 
சீவலப்பேரி - 272.3 
சீவனோ - 223.18 
சீவைகுந்தம் - 321.1 
சீன - 202.2 
சீனம் - 195.2 
சீனியாள் - 38.2 
சுகக்காரி - 329.2; 334.1 
சுகந்த - 38.3 
சுட்டிக்கு - 286.2 
சுடர் - 8.1; 13.4; 157.2 
சுண்டு - 367.1 
சுந்தர - 46.2 
சுந்தரத்தோழன் - 285.2 
சுந்தரர்க்கு - 88.1; 354.1 
சுந்தரி - 45.1; 115.15 
சுந்தரியாள் - 286.2 
சுந்தரியோ - 43.1 
சுந்தோபசுந்தர் - 313.3 
சும்மா - 51.4; 344.4; 388.1 
சுரண்டையூர் - 274.3 
சுருண்டு - 33.1; 367.2,2 
சுரும்பு - 253.1 
சுருளும் - 330.2 
சுரைக்காய் - 383.2 
சுவடெடுத்து - 253.3 
சுழல - 161.2 
சுழற்றவே - 11.3 
சுழிக்கும் - 36.3 
சுழியெறியும் - 33.1 
சுளை - 81.1 
சுற்றவேண்டா - 397.1 
சுற்றாத - 397.1 
சுற்றி - 33.1; 44.3; 272.4; 277.3 
சுற்றியே - 274.3 
சுற்று - 384.1 
சுறுக்கில் - 334.1 
சூட்சமாக - 205.2 
சூட்டி - 28.3 
சூட்டும் - 410.1 
சூடக - 42.1 
சூடகம் - 31.1; 215.1 
சூடர் - 43.3 
சூடாள் - 57.2 
சூடி - 4.4; 251.1 
சூடிக் - 116.1 
சூடிக்கொண்டு - 252.1 
சூடிக்கொள்ள - 353.2 
சூடிய - 111.1; 313.3 
சூடினார் - 303.1 
சூடு - 121.4 
சூர - 154.1 
சூரியரும் - 79.4 
சூல - 268.4 
சூலக் - 58.3 
சூலுளை - 162.2 
சூழ் - 152.1; 254.1; 306.3; 347.2 
சூழ்ந்திட - 155.4 
சூழ்ந்து - 7.2 
சூழ - 156.1; 278.1 
சூழப் - 44.3 
சூளை - 300.3 
சூறையாடும் - 33.2 
செக்கரும் - 68.2 
செக - 222.2 
செகநாதம் - 320.2 
செங்கண்மால் - 159.3; 223.3 
செங்கதிரோன் - 131.2 
செங்கமல - 215.2 
செங்கால்நாரையும் - 265.4 
செங்குள - 272.1 
செங்குறிஞ்சிக்குளம் - 273.1 
செங்கை - 115.32; 217.1 
செங்கைக்குள் - 74.4 
செங்கையாள் - 36.1 
செங்கையில் - 40.1 
செங்கோட்டை - 274.2 
செங்கோல் - 115.32; 410.3 
செங்கோலான் - 2.2 
செச்சை - 116.1 
செஞ்சடை - 109.1 
செஞ்சி - 195.2 
செஞ்சொல் - 159.3 
செட்டி - 310.1 
செட்டிக்கு - 286.1 
செடிக்கொரு - 317.4 
செண்பக - 115.17; 271.1; 303.1 
செண்பகச்சோலை - 175.1 
செண்பகமாறற்கு - 197.2 
செண்பகாடவி - 168.2 
செந்தில் - 223.3 
செந்தேனோ - 54.2 
செந்நெல் - 115.8; 161.1; 280.2 
செப்பரு - 223.8 
செப்பலாம் - 244.2 
செப்பில் - 48.3 
செப்புவாயே - 193.4 
செப்போ - 223.23 
செப்போடு - 196.3 
செபித்த - 314.4 
செம் - 76.3; 217.3; 350.1 
செம்பொன் - 372.2,2 
செம்போ - 223.21 
செம்மை - 206.1 
செம்மையா - 125.2 
செய் - 52.4; 109.3; 274.2 
செய்கின்ற - 285.1 
செய்த - 38.1; 177.1; 223.26; 282.2 
செய்தல்லவோ - 65.1 
செய்தாளோ - 80.4 
செய்தி - 79.1 
செய்தியை - 73.2 
செய்ய - 51.3; 73.3; 197.3 
செய்யப் - 154.2 
செய்யும் - 332.2 
செய்வம் - 58.1 
செய்வாளே - 109.4 
செய்வித்து - 282.2 
செய்வேன் - 340.3 
செய - 9.1; 115.11; 183.2 
செயத்தம்பம் - 115.34 
செயம் - 40.1,1 
செயும் - 101.2 
செல் - 148.1 
செல்ல - 36.1; 125.2; 228.1 
செல்லிமலை - 145.1 
செல்லுவாய் - 71.4 
செல்வ - 148.2; 304.2; 305.1 
செல்வங்கள் - 315.1 
செல்வம் - 79.3 
செல்வர் - 1.1; 53.1; 190.2; 212.1; 321.4 
செல்வன் - 279.2 
செலவோ - 223.23 
செவ் - 325.3 
செவ்வேள் - 291.1 
செவ்வேளை - 92.1 
செவி - 10.2 
செவிகளும் - 10.3 
செழிக்க - 115.5 
செழிக்கும் - 172.1 
செழும் - 135.1; 212.3 
சென்ற - 163.4 
சென்றது - 178.1 
சென்றேன் - 329.2 
சென்னியிலே - 266.1 
சேண் - 347.3 
சேப்ப - 39.3 
சேயிழை - 314.4 
சேர் - 115.2,21; 278.2; 282.4; 284.3; 308.3; 409.2 
சேர்த்து - 59.2 
சேர்த்துத் - 250.3 
சேர்ந்த - 155.1,1,2,3; 307.2 
சேர்ந்தவர் - 161.1 
சேர்ந்து - 80.4; 155.2 
சேர - 240.2; 241.2; 243.2 
சேல் - 15.3 
சேலத்தார் - 361.1 
சேலத்து - 360.1 
சேலை - 37.3; 370.1; 388.1 
சேலையும் - 8.3; 223.29 
சேவக - 115.11 
சேவகர் - 263.2 
சேவகனே - 223.10 
சேவல் - 308.4; 313.2 
சேவலும் - 313.2 
சேற்றில் - 397.3 
சேனை - 13.1; 187.1; 228.2; 231.1; 279.2; 292.3 
சைவக்கொழுந்து - 279.1 
சைவம் - 267.3 
சைவமுத்திரையை - 115.1 
சைவர் - 12.1; 291.3 
சொக்கநாயகர் - 197.3 
சொந்த - 128.4 
சொரிமுத்தே - 223.9 
சொரியும் - 156.1 
சொருகி - 380.1 
சொல் - 47.2; 72.1; 128.4; 224.3; 321.3 
சொல்ல - 30.1; 125.2; 168.2; 203.1; 225.1; 226.2; 234.2 
சொல்லக்கூடாது - 336.2 
சொல்லடா - 358.2,2 
சொல்லடி - 232.2; 238.2; 242.1 
சொல்லத்தக்கதோ - 86.3 
சொல்லப் - 357.1 
சொல்லரிய - 147.1 
சொல்லவும் - 86.2 
சொல்லாமல் - 355.1 
சொல்லாமலே - 291.4 
சொல்லானோ - 23.2 
சொல்லி - 87.1,2; 108.1; 238.2,2; 332.4; 340.2 
சொல்லிப் - 341.3 
சொல்லிவிட்டதோ - 223.27 
சொல்லினாள் - 34.3 
சொல்லு - 224.3 
சொல்லுதே - 205.1 
சொல்லும் - 34.1; 55.3; 193.3 
சொல்லுவதும் - 239.2 
சொல்லுவள் - 345.2 
சொல்லுவேன் - 199.1; 234.2; 240.1 
சொல்வாயே - 332.4; 338.4 
சொல்வாளே - 217.4 
சொல்வேன் - 78.2 
சொல - 92.4; 105.2; 118.2 
சொன்ன - 78.2; 103.1; 197.2; 204.1; 238.1; 318.2; 410.2 
சொன்னவர்க்கு - 86.2 
சொன்னவன் - 280.4 
சொன்னவனை - 409.1 
சொன்னாரோ - 67.2 
சொன்னேன் - 86.4; 336.2 
சோமனும் - 8.3 
சோமனை - 112.1 
சோர்ந்தாள் - 59.2 
சோர - 27.1 
சோருது - 352.3 
சோலையில் - 126.1 
சோழன் - 372.1 
சோறிட - 156.4 
ஞாயமோ - 27.2 
ஞாயிறு - 4.4; 77.2 
ஞாளி - 253.3 
ஞானிகளும் - 164.1 
டில்லி - 119.3 
தக்க - 158.1 
தக்கன் - 312.1 
தக்குது - 301.4 
தகப்பனார் - 186.2 
தகுர்த - 47.3 
தகையினை - 256.2 
தங்க - 36.1 
தங்கம் - 52.1; 257.1 
தங்கவே - 120.1 
தங்கி - 35.2 
தங்கும் - 140.2; 173.1 
தஞ்சை - 195.3 
தட்டான்குளச்சுற்றும் - 279.4 
தட்டான்பற்று - 303.2 
தட்டி - 313.4 
தட்டிக் - 344.1 
தட்டு - 309.5 
தட - 39.2; 309.5; 331.1; 399.1 
தடத்தானைச் - 404.1 
தடுப்பது - 8.1 
தடைசெய்ய - 98.1 
தண் - 62.4; 63.1,2; 67.1 
தண்டை - 40.2; 362.1 
தண்டொட்டி - 378.2 
தண்ணென்றும் - 309.6 
தணியாத - 285.1 
தத்துறு - 39.2 
தந்த - 67.1; 331.3; 370.1; 372.1; 374.1; 378.2; 380.2 
தந்தால் - 91.3 
தந்தி - 400.1 
தந்தை - 186.1; 282.1 
தப்பிவிட்டேனே - 324.2 
தம் - 266.4 
தம்பம் - 315.1 
தம்பியார் - 290.2 
தம்பிரான் - 115.17,18 
தம்புரு - 11.1 
தமக்கு - 115.35; 151.1 
தமக்கும் - 188.2 
தமயந்தி - 348.4 
தமயன் - 146.2 
தமனிய - 59.2; 78.1 
தமிழ் - 10.4; 113.1; 195.3; 196.2; 400.1 
தமிழ்க்கு_உரியார் - 304.1 
தமிழால் - 115.34 
தமையன் - 191.1 
தயவுடை - 266.3 
தயிர் - 161.2 
தர்மக்களஞ்சியம் - 281.4 
தரச்சொல்லு - 91.2,3 
தரளம் - 120.2 
தராதிருந்தால் - 91.3 
தரிக்கும் - 115.1 
தரிகொண்டுதில்லை - 289.2 
தரிகொள்ளாமல் - 348.2 
தரித்த - 8.1; 27.2 
தரித்தவனை - 408.1 
தரு - 186.2 
தரும் - 82.3 
தருமத்துக்கு - 279.1; 282.1 
தருவேன் - 339.3 
தரைப்பெண்ணுக்கு - 78.1 
தல - 163.4 
தலத்தான் - 207.3 
தலத்தில் - 326.1 
தலத்தின் - 180.1; 326.4 
தலத்து - 410.4 
தலத்தை - 280.3; 326.2 
தலம் - 175.2; 179.2 
தலமும் - 212.3 
தலமே - 175.2; 177.1,2; 178.1,2 
தலை - 84.1; 256.1; 392.2 
தலைக்குள் - 84.1 
தலைநாள் - 410.2 
தலையில் - 99.1 
தவ - 169.1 
தவச - 223.19 
தவசிருக்கும் - 179.2 
தவத்தால் - 326.4 
தவதுக்காய் - 166.2 
தவப் - 291.3 
தவம் - 80.4 
தவள - 128.3 
தவளை - 365.1 
தவில் - 255.3 
தழுவ - 331.1 
தழைத்த - 174.2 
தழைத்து - 9.4 
தறை - 208.1 
தன் - 56.3; 85.1,2; 122.2; 275.4; 282.4; 284.1,2,3,4; 309.3; 314.4; 383.1 
தன்ம - 306.1 
தன்னில் - 48.1; 76.3; 196.1,1; 263.2; 326.1; 343.1 
தன்னை - 128.2; 157.1; 248.1; 280.3; 319.4 
தனக்கு - 332.3 
தனக்குள் - 142.2 
தனத்தி - 410.1 
தனத்து - 21.1 
தனத்தை - 329.1 
தனதன் - 11.4 
தனதை - 329.3 
தனி - 17.2; 337.1 
தனித்தனி - 7.2 
தனில் - 50.3; 116.4; 119.2; 176.1; 256.1 
தனிலிருந்து - 107.1 
தனை - 182.1,2; 231.1; 256.2; 320.3; 321.4; 326.4; 339.4; 340.4; 348.3; 388.1; 402.2 
தனைக் - 338.3; 354.2 
தனையும் - 180.2 
தா - 330.3 
தாக்க - 156.3 
தாக்கி - 258.1 
தாகம் - 55.4 
தாகம்தீர்த்தானுடன் - 285.3 
தாங்கவே - 9.1 
தாங்காய் - 208.2 
தாங்கி - 114.3; 116.2 
தாங்குமோ - 383.1 
தாண்டவனை - 405.2 
