முக்கூடற் பள்ளு சொல்லடைவு
இளநீரை -- 25.1 
இளம் -- 20.3, 128.7 
இளமுறைக்கோன் -- 1.8 
இளமை -- 173.2 
இளமையை -- 90.2 
இளவேனில் -- 18.3 
இளைய -- 14.8, 73.1, 133.4 
இளையபள்ளி -- 54.2 
இளையவள் -- 85.2, 90.1, 100.2 
இளையாள் -- 9.2, 84.1 
இறுக்கிக் -- 138.1 
இறை -- 131.1 
இறைக்கும் -- 41.2 
இறைத்தான் -- 88.7 
இறைவர் -- 129.1 
இறைவனாகும் -- 38.1 
இறைவனை -- 48.7 
இன்று -- 59.3, 79.2, 87.4, 92.15, 113.4, 124.2, 128.4 
இன்றும் -- 35.3 
இன்றைக்கு -- 45.2 
இன்னது -- 60.3 
இன்னம் -- 70.1, 92.16 
இன்னமும் -- 85.6 
இன்னும் -- 6.5, 75.3, 99.3, 151.1, 158.3 
இனம் -- 20.3, 48.2,3 
இனி -- 87.8, 89.6, 90.6, 101.1, 149.2 
இனித் -- 105.3 
இனிய -- 139.5 
ஈ -- 53.4 
ஈச்ச -- 134.6 
ஈசன் -- 170.2 
ஈட்டியும் -- 48.6 
ஈடாய் -- 15.7 
ஈடிலா -- 70.1 
ஈது -- 117.7 
ஈந்து -- 42.2 
ஈயும் -- 46.3 
ஈர்ந்து -- 42.2 
ஈர -- 92.5 
ஈரம் -- 39.4 
ஈழ -- 35.2 
ஈறு -- 1.6 
ஈனத்துக்கு -- 87.5 
உகுந்த -- 48.5 
உங்கள் -- 96.4, 152.1, 161.2,4, 162.2, 163.2,4, 164.2,4, 165.2,4, 166.2,4, 167.2,4, 168.2,4, 169.2,4, 170.2,4 
உட்கை -- 87.1 
உடல் -- 82.1 
உடனே -- 113.8 
உடுத்தான் -- 168.2 
உடைக்கும் -- 24.1 
உடைச்சி -- 126.3 
உடைச்சியும் -- 131.4 
உடைச்சு -- 134.3 
உடைய -- 41.1 
உடையார் -- 32.3, 33.1 
உடையாருக்கு -- 32.2 
உடையான் -- 114.2 
உடையானேரி -- 92.13 
உடையும் -- 129.2,8 
உண்ட -- 20.4 
உண்டாக்கினாள் -- 56.4 
உண்டாக்கும் -- 15.7 
உண்டாம்படி -- 69.1 
உண்டாயதுவே -- 43.3 
உண்டான் -- 123.1, 169.2,4 
உண்டு -- 95.1, 96.1, 109.8, 110.7 
உண்டோ -- 69.3, 99.1, 100.3, 153.3, 171.4,4, 172.4, 173.4 
உண்ண -- 33.2, 135.1 
உண்ணவே -- 60.1 
உண்ணானோ -- 96.4 
உண்பானோ -- 96.4 
உண்பேனோ -- 96.3 
உண்மை -- 11.3 
உணர் -- 4.6 
உத்தர -- 13.1 
உத்தாரம் -- 113.7 
உதயவரைக்கும் -- 50.2 
உதரம் -- 50.1 
உதவும் -- 87.8 
உதறியே -- 85.4 
உதிர்த்து -- 40.8 
உதிரம் -- 42.7 
உதிரும் -- 42.3 
உதைத்து -- 50.1 
உந்தியும் -- 40.4 
உப்பளத்தாரை -- 48.6 
உபகாரி -- 29.3 
உம்மை -- 103.1,1 
உய்ப்பார் -- 138.3 
உயர் -- 29.4 
உயர்தரும் -- 4.5 
உயர்ந்த -- 38.3 
உயர்ந்திடும் -- 25.1 
உயர்ப்பார் -- 138.3 
உயரவே -- 28.1 
உயிராம் -- 87.7 
உயிருமாய்க் -- 38.6 
உரத்திடும் -- 86.3 
உரம் -- 4.1, 46.3, 77.1, 83.8 
உரம்வைப்பேன் -- 80.2 
உரலும் -- 46.5 
உரிமை -- 38.6, 137.3 
உருக்கும் -- 23.1 
உருகி -- 134.1 
உருமாலும் -- 10.4 
உருவ -- 135.3 
உருவத்து -- 133.2 
உரைக்க -- 5.3 
உரைத்தாள் -- 55.2 
உரைத்தான் -- 113.7 
உரைத்திடும் -- 22.4 
உரைத்தும் -- 149.1 
உரைத்தோர் -- 4.6 
உரையை -- 64.1, 113.7 
உல்லம் -- 50.5 
உல்லாச -- 7.1 
உலகு -- 32.1 
உலகுக்கு -- 38.6 
உலாவும் -- 20.1 
உவகை -- 137.3 
உவந்து -- 43.4, 76.3 
உழ -- 11.2, 74.3, 90.3, 113.8, 120.2 
உழக்கில் -- 155.3 
உழக்கோலால் -- 11.8 
உழக்கோலும் -- 57.1 
உழப்பி -- 132.4 
உழப்பிப்போட்டான் -- 151.6 
உழவில் -- 82.6 
உழவு -- 80.2, 125.1 
உழவுதான் -- 67.2 
உழவுமாடு -- 71.1 
உழவை -- 121.1 
உழுத -- 121.1, 132.3 
உழுதார் -- 114.8 
உழுது -- 125.2, 151.6 
உழும் -- 67.2, 74.2, 110.5, 134.3 
உழுவை -- 51.4 
உழைத்தான் -- 88.4 
உள் -- 92.12, 127.3 
உள்ள -- 92.2, 114.7, 151.5 
உள்ளத்தில் -- 7.1 
உள்ளது -- 80.2, 92.15 
உள்ளபடி -- 140.4 
உள்ளபேரை -- 121.1 
உள்ளம் -- 22.3 
உள்ளமட்டும் -- 67.3 
உள்ளாக்கி -- 61.2 
உள்ளூர் -- 72.1, 131.3 
உள -- 1.6,6 
உளக்குடி -- 131.4 
உளம் -- 140.4 
உளாய் -- 165.3 
உளுக்கவே -- 25.3 
உற்ற -- 6.5, 82.1 
உற்றது -- 131.7 
உற்று -- 2.3 
உற்றே -- 51.1 
உறக்கம் -- 59.4, 93.2 
உறு -- 132.1, 137.3 
உறுக்கும் -- 10.7 
உறை -- 44.4, 151.3 
உன் -- 83.6, 101.3, 102.2, 153.2,4, 154.2,3, 159.4, 160.1 
உன்னீர் -- 43.4 
உன்னை -- 155.4 
உனக்கு -- 101.2, 118.5, 158.1,4, 161.1 
உனக்கே -- 101.2 
உனை -- 156.2 
ஊசலிடும் -- 7.1 
ஊசிக்காம்பு -- 36.5 
ஊட்டினார் -- 129.2 
ஊட்டுகு -- 86.4 
ஊத்தை -- 54.5 
ஊர் -- 19.4, 23.4, 47.1, 154.2 
ஊர்ந்ததே -- 48.8 
ஊரர் -- 47.1 
ஊரார் -- 156.1 
ஊராருக்கு -- 88.4 
ஊரில் -- 40.6 
ஊரிலே -- 155.4 
ஊருக்கு -- 92.3 
ஊருக்குள் -- 88.3 
ஊரும் -- 49.1 
ஊரே -- 14.2, 19.4, 20.4, 23.4, 24.4 
ஊழி -- 2.4 
ஊளை -- 53.3 
ஊற்று -- 33.2 
ஊறு -- 53.3 
ஊன்றி -- 37.4, 54.5 
ஊனுக்கும் -- 87.7 
ஊனே -- 38.6 
ஊனை -- 89.3 
எங்கள் -- 14.2, 19.4, 20.4, 23.4, 24.4, 104.1, 111.1, 171.1 
எங்கும் -- 20.1, 32.1, 69.1, 130.5, 137.4 
எங்கே -- 71.1, 96.1, 156.3 
எட்டாதவன் -- 3.2 
எட்டி -- 134.6 
எட்டிப்பார்க்கப் -- 17.1 
எடுக்கிறா -- 133.8 
எடுத்தான் -- 151.3 
எடுத்திடும் -- 85.5 
எடுத்து -- 125.5 
எடுப்பார் -- 138.2 
எண்ணாயிரம் -- 147.1 
எண்ணி -- 6.6, 110.8 
எண்ணிக்கை -- 74.3 
எண்ணிப்பாராமல் -- 163.1 
எண்ணெய் -- 55.1 
எண்ணெய்மீன் -- 50.3 
