முக்கூடற் பள்ளு சொல்லடைவு
சுரும்பும்தான் -- 46.5 
சுருளுக்கு -- 6.4 
சுரை -- 53.2 
சுழற்றுதடி -- 81.1 
சுழி -- 22.2 
சுழியன் -- 86.3 
சுழுக்கு -- 36.5 
சுள்ளும் -- 86.5 
சுற்றி -- 10.6, 168.1 
சுற்றும் -- 92.14, 98.4 
சுறவு -- 48.8 
சுறுக்கும் -- 10.5 
சூடாமலே -- 167.3 
சூடும் -- 24.4, 88.5 
சூதம் -- 25.2,2 
சூது -- 61.1 
சூதை -- 149.2 
சூரத்துடனே -- 1.6 
சூரிய -- 22.1 
சூல -- 42.7 
சூலானது -- 37.1 
சூழ்ந்திருக்க -- 174.2 
சூழ -- 35.2, 122.2 
சூழி -- 175.2 
செங்கடாயும் -- 32.4 
செங்கண் -- 37.1 
செங்கமலம் -- 175.1 
செங்கரும்புகு -- 26.4 
செங்கான் -- 96.2 
செங்கை -- 130.7 
செங்கை--தனில் -- 49.4 
செங்கோல் -- 14.2 
செங்கோன்மை -- 28.4 
செஞ்சம்பா -- 108.1 
செஞ்சிக்கும் -- 14.1 
செஞ்சேவல் -- 33.1 
செட்டி -- 71.4 
செண்டலங்காரர் -- 19.4, 68.2 
செண்டாடிக்கொண்டு -- 81.2 
செந்தாழை -- 143.2 
செந்நெல் -- 22.3, 26.3, 139.6 
செந்நெலும் -- 26.3 
செப்பறை -- 71.3 
செப்பி -- 91.2 
செப்பியவாறு -- 76.4 
செம் -- 8.1 
செம்பருந்து -- 72.3 
செம்பி -- 126.2 
செம்பொன் -- 6.7, 10.3 
செம்பொன்நொறுக்கி -- 50.6 
செம்மறையன் -- 109.1 
செய் -- 92.15, 107.2 
செய்த -- 47.1, 94.1, 150.7 
செய்ததன் -- 107.2 
செய்ததை -- 60.4 
செய்தார் -- 137.3,3 
செய்தி -- 65.3, 84.3, 112.2, 123.2 
செய்து -- 88.3 
செய்தே -- 110.6 
செய்யான் -- 56.2 
செய்யினில் -- 135.4 
செய்யுமோ -- 56.2 
செய்யுள் -- 21.4 
செய்வது -- 56.2 
செய்வதும் -- 75.2 
செய்வார் -- 3.8 
செய்வாரே -- 16.4 
செய்வேன் -- 60.4, 75.1, 94.4 
செருக்கும் -- 23.3 
செல்லவே -- 42.6 
செல்லாது -- 153.2 
செல்லி -- 33.2, 126.1 
செல்லும் -- 14.1 
செல்வமும் -- 29.1 
செலவிட்டான் -- 73.4 
செலவு -- 68.2, 144.1 
செலவுக்கு -- 86.1 
செலவும் -- 66.3, 140.2 
செவி -- 11.4, 95.2 
செவிக்கு -- 45.4 
செவியில் -- 119.2 
செழிக்கவே -- 46.1 
செழும் -- 134.1 
செறிந்து -- 136.1 
சென்றாளே -- 102.4 
சென்றான் -- 84.2 
சென்றானே -- 113.8 
சென்று -- 42.7, 81.2, 153.1 
சேதம் -- 60.2 
சேர் -- 18.3, 27.3, 92.4, 128.1 
சேர்த்த -- 107.2 
சேர்த்தானே -- 93.4 
சேர்த்திருக்கும் -- 10.3 
சேர்த்து -- 86.7, 111.6 
சேர்த்துக்கொள்வர் -- 70.3 
சேர்ந்தது -- 71.2 
சேர்ப்பேன் -- 11.6 
சேர -- 2.5, 16.3, 73.3, 92.15 
சேரி -- 31.4, 123.1 
சேரிக்குள் -- 88.3 
சேரிப் -- 35.7 
சேரியில் -- 36.7 
சேரில் -- 108.4, 148.1 
சேலை -- 168.3 
சேவல் -- 17.2 
சேவி -- 126.5 
சேவையன் -- 3.1 
சேற்றில் -- 35.5 
சேற்று -- 35.5, 127.2 
சேனை -- 40.7 
சேனைக்கு -- 69.1 
சேனைமுதற்கோனை -- 3.8 
சொக்காரி -- 62.2 
சொம் -- 88.4 
சொரிகுரும்பை -- 68.4 
சொருக்கு -- 128.6 
சொல் -- 3.5, 58.1, 89.7, 100.2,2 
சொல்ல -- 101.1, 141.1, 148.1 
சொல்லடி -- 153.2, 158.2 
சொல்லலாமோடி -- 172.2 
சொல்லவேணும் -- 99.1 
சொல்லாதது -- 171.4 
சொல்லாது -- 149.2 
சொல்லாதே -- 99.2 
சொல்லாய் -- 98.4, 117.2 
சொல்லி -- 97.3 
சொல்லிக்கொடுத்திடமாட்டார் -- 85.1 
சொல்லிய -- 112.2 
சொல்லில் -- 153.2 
சொல்லீரே -- 43.4, 47.4 
சொல்லுவேனடி -- 152.4 
சொல்வாராம் -- 54.1 
சொல்வேன் -- 74.3 
சொல்வேனே -- 5.4 
சொலவொண்ணா -- 68.4 
சொற்படியே -- 81.2, 107.1 
சொறி -- 35.4 
சொன்ன -- 102.1, 137.2, 152.4, 175.2 
சொன்னது -- 158.1, 170.3 
சொன்னதும் -- 85.6 
சொன்னபடி -- 78.1 
சொன்னாய் -- 61.3, 172.1 
சொன்னார்கள் -- 60.3 
சொன்னால் -- 89.3,4, 101.2, 153.1, 173.3, 174.1 
சொன்னாள் -- 58.2 
சொன்னாளே -- 149.4 
சொன்னானே -- 107.4, 112.4, 140.4 
சொன்னேன் -- 56.1, 106.2, 141.2 
சோதனை -- 75.2 
சோதி -- 9.3, 23.1, 113.1, 168.2 
சோதிச்சுது -- 95.2 
சோதித்தேன் -- 83.5 
சோதியர் -- 1.1 
சோபனம் -- 17.3 
சோர்ந்து -- 129.7 
சோர்வு -- 116.2 
சோர்வுகள் -- 3.5 
சோரமுடன் -- 97.4 
சோரன் -- 133.3 
சோலியில் -- 141.2 
சோலை -- 20.2 
சோழன்-- -- 165.1 
சோற்றுக்கு -- 169.3 
சோற்றுக்கும் -- 130.3 
சோறிட்டாலும் -- 57.2 
சோறு -- 15.5, 97.4 
சோறும் -- 60.1, 96.3 
ஞான -- 4.8 
ஞானிச்செட்டி -- 89.1 
தக்க -- 15.5, 36.3 
தகட்டு -- 46.2 
தகு -- 113.2 
தகும் -- 48.7 
தங்கமே -- 49.2 
தங்கள் -- 130.3 
தங்கும் -- 26.2, 69.2 
தஞ்சை -- 14.7 
தஞ்சைக்கும் -- 14.1 
தட்டி -- 53.3 
தட்டியே -- 134.6 
தட்டைச்சங்கன் -- 114.2 
தடத்து -- 23.2 
தடம் -- 48.7 
தடவ -- 2.2 
தடவி -- 26.2, 132.4 
தடவியே -- 125.2 
தடி -- 10.6, 54.5 
தடியையும் -- 132.3 
தடுத்து -- 85.7, 118.3 
தடுமாறாதவகை -- 140.4 
தடுமாறியே -- 131.7 
தண் -- 23.3 
தண்டலை -- 19.2, 48.5 
தண்டாத -- 81.3 
தண்டு -- 48.5 
தண்ணீர் -- 92.1, 99.2, 106.2 
தண்ணீர்ச் -- 150.5 
தண்ணீரை -- 122.1 
தணந்தார் -- 49.2 
தத்த -- 133.1 
தத்தும் -- 24.1 
தந்த -- 93.2 
தந்தால் -- 152.2 
தந்தான் -- 151.8 
தந்திரமடி -- 159.4 
தந்திரமாய்க் -- 97.2 
தந்திரமும் -- 160.1 
தந்தோம் -- 151.8 
தப்பாமல் -- 76.2 
தம்பிச்சாள் -- 126.2 
தம்பியுடன் -- 164.3 
தமக்கை -- 133.4 
தமது -- 12.4 
தமிழ் -- 29.1, 31.1, 81.3, 130.1 
தமிழ்க்கே -- 4.4 
தமிழிசைக்கு -- 136.2 
தயரத -- 110.1 
தயிர் -- 22.1 
தர -- 34.1, 151.5 
தரங்கமீன் -- 20.1 
தரமில்லை -- 18.2 
தரிசு -- 11.2 
தரிசையடித்து -- 125.1 
தரித்த -- 38.4 
தரித்தான் -- 120.1,2 
தரித்திரம் -- 86.1 
தரித்து -- 38.4 
தரியாமல் -- 116.2 
தரியான் -- 87.6 
தரு -- 30.3, 124.2, 140.1 
தரும் -- 52.4, 102.3 
தரும -- 30.2 
தருமச் -- 2.1 
தருவோர் -- 1.4 
தரை -- 67.2 
தலத்தார் -- 139.4 
தலை -- 33.1, 86.3, 89.5, 119.3, 150.5 
தலைசாய்ப்பார் -- 173.2 
தலைநீட்டி -- 26.1 
தலைப்பொறியோ -- 117.5 
தலைமேல்கொண்டு -- 124.4 
தலைமை -- 130.1 
தலையசைப்பும் -- 10.5 
தலையணை -- 2.2 
தலையிட்டேன் -- 14.4 
தலையின் -- 94.2 
தலையும் -- 53.2, 133.1 
தலையை -- 132.8 
தலையையும் -- 87.2 
தவசி -- 165.3 
தவத்தினர் -- 134.1 
தவள -- 46.7,7 
தவளை -- 35.4 
தவறாத -- 113.2 
தவிர்ப்பார் -- 138.7 
தழைக்கவே -- 29.3,4 
தழைத்து -- 136.2 
தழையின் -- 40.4 
தள்ள -- 167.2 
தள்ளவே -- 167.3 
தள்ளாடிக்கொண்டு -- 131.5 
தள்ளார் -- 3.6 
தள்ளி -- 167.4 
தள்ளியும் -- 42.2 
தள்ளிவிடும் -- 116.2 
தள்ளுமண்ணும் -- 151.7 
தளப்பன் -- 72.3 
தளிர் -- 17.3 
தளிர்க்கவே -- 46.1 
தளை -- 2.5 
தறுகி -- 132.7 
தன் -- 17.1, 24.3, 25.1,2, 74.3, 81.1, 87.5, 88.5, 97.1, 98.4, 149.3, 154.2, 165.2 
தன்மத்துக்கு -- 104.1 
தன்னிலே -- 14.5 
தன்னை -- 98.4 
தன -- 8.5 
தனதாக -- 83.6 
தனமும் -- 6.6 
தனித்து -- 96.3 
தனிப்ப -- 22.3 
தனு -- 110.2 
தா -- 3.5 
தாக்கியே -- 48.5 
தாகதினளாக -- 2.1 
தாங்கவேணும் -- 104.2 
தாங்கு -- 119.3 
தாங்கும் -- 25.4 
தாங்குறா -- 132.8 
தாங்குறான் -- 132.8 
தாங்கேனே -- 49.4 
தாடி -- 142.2 
தாண்டவராயன் -- 72.1 
தாணு -- 165.2 
தாதக்கோன் -- 83.5 
தாபதர் -- 22.3 
தாமதப்படவே -- 130.4 
தாமரைக்கண் -- 110.1 
தாயை -- 15.1 
தார் -- 127.1 
தாரணைசெயும் -- 3.3 
தாரத்து -- 2.1 
தாரம் -- 97.1 
தாரை -- 39.3 
தாலியும் -- 8.6 
தாவக் -- 18.1 
தாவளக்குடி -- 29.2 
தாவி -- 38.5 
தாவும் -- 20.1 
தாழ்ச்சி -- 101.2 
தாழைக்குடை -- 36.4 
தாள் -- 34.1 
தாள -- 3.6 
தாளடியையும் -- 132.3 
தாளை -- 11.1 
தாற்று -- 127.1 
தாறுமாறாய் -- 53.5 
தான் -- 14.5, 57.1, 87.1, 162.1, 165.1, 168.3 
தான -- 40.3 
தானம் -- 44.7,7 
தானவர் -- 1.7 
தானிகரும் -- 28.3 
தானே -- 38.6 
திங்கள் -- 20.2, 21.1, 30.3, 32.1 
திசை -- 2.6, 71.2 
திசைபோன -- 61.1 
திசையில் -- 102.4 
திசையும் -- 125.6 
தியக்கமும் -- 129.5 
திரள் -- 42.1 
திரிகூட -- 51.1 
திரிசிரனையும் -- 128.1 
திரிந்தான் -- 170.2 
திரிந்தும் -- 169.3 
திரிபட்டுள்ளது -- 21.2 
திரிய -- 2.6 
திரு -- 2.3, 16.1, 92.9 
திருக்கை -- 50.4 
திருத்தக் -- 75.3 
திருத்தாள் -- 1.5, 175.3 
திருத்தில் -- 147.2 
திருத்தினில் -- 86.5 
திருத்தும் -- 92.2,4 
திருந்த -- 98.2, 125.2 
திருந்தினாள் -- 128.8 
திருநதியின் -- 30.1 
திருநாம -- 6.1, 94.4, 100.4 
திருநாமம் -- 47.3 
திருநாள் -- 143.1 
திருநாளுக்கு -- 142.1 
திருப் -- 174.3 
திருப்பதம் -- 134.1 
திருப்பதிக்கும் -- 139.3 
திருப்பேர் -- 175.2 
திரும்பிவர -- 59.3 
திரும்பினேன் -- 92.16 
திருமங்கை -- 68.3 
திருமலைக்கொழுந்து -- 28.4 
திருமால் -- 35.7, 171.3 
திருமாளிகைக்கு -- 139.2 
திருமுக்கூடல் -- 6.8, 34.1, 51.2, 73.1, 91.1, 93.1, 132.2, 175.4 
திருமுக்கூடலின் -- 27.1 
திருவடி -- 15.4 
திருவன் -- 143.2 
திருவாய்மொழி -- 11.7 
திருவி -- 126.2 
திருவில் -- 38.2 
திருவிழி -- 4.8 
திருவிளையாட்டு -- 132.2 
திருவுளம் -- 80.1 
திரை -- 2.3, 48.3, 82.4 
திரையில் -- 129.2 
திறப்பட்டே -- 40.2 
திறமிலை -- 2.6 
தின்னாதது -- 171.4 
தின -- 147.1 
தினச்சத்திரத்துக்கு -- 139.1 
தினம் -- 36.8 
தினமும் -- 74.4 
தினையை -- 40.8 
தீ -- 90.5 
தீக்கு -- 54.6 
தீண்டான் -- 57.1 
தீண்டும் -- 26.1 
தீத்தீ -- 11.8 
தீபம் -- 21.2 
தீர்க்கலாம் -- 75.2 
தீர்த்து -- 132.1 
தீர்வாயே -- 41.4 
தீராண்மை -- 172.1 
தீரும் -- 90.7 
துகுணி -- 56.1 
துட்ட -- 15.2 
துட்டர் -- 11.4 
துடிக்கும் -- 129.7 
துடைக்கும் -- 24.2 
துண்டும் -- 168.1 
துணிந்து -- 133.7 
துணிவொடு -- 1.5 
துணை -- 1.5 
துணைவனார் -- 128.2 
துதிக்கை -- 50.3 
துதித்து -- 125.5 
துப்பான -- 60.3 
துயர் -- 119.3 
துயரம் -- 132.1 
துயில் -- 7.3, 82.5 
துலங்க -- 8.7 
துலா -- 113.4 
துவரையும் -- 44.4 
துழனி -- 46.8 
துழாய் -- 124.1 
துள்ளாடி -- 131.5 
துள்ளாதே -- 65.3 
துள்ளி -- 116.1 
துள்ளிக்கொள்வோமே -- 35.8 
துள்ளும் -- 44.8 
துளவ -- 127.1 
துறுகல்லை -- 44.5 
துறை -- 92.14, 100.4 
துறையில் -- 36.3 
தூக்கிக் -- 82.7 
தூக்குணி -- 56.1 
தூங்கல் -- 53.5 
தூங்கும் -- 25.2 
தூண் -- 74.1 
தூயவர் -- 1.3 
தூர -- 15.5 
தூவும் -- 20.2 
தூற்றலால் -- 92.5 
தூற்றி -- 138.8 
தெக்கண -- 15.3 
தெங்கு -- 25.1 
தெய்வக்கடன் -- 121.2 
தெய்வத்துக்கு -- 96.2 
தெய்வத்தை -- 32.1 
தெய்வதாசிகளுக்கே -- 68.4 
தெய்வநிலை -- 31.4, 34.3, 137.3 
தெய்வம் -- 95.2 
தெரிந்தார் -- 137.4 
தெரிந்திலேன் -- 117.7 
தெரிப்பிட்டு -- 88.2 
தெரிபவர் -- 4.2 
தெரியும் -- 153.4 
தெரிவை -- 73.1 
தெருக்கள்--தோறும் -- 20.2 
தெளித்தான் -- 121.2 
தெற்கு -- 92.12, 131.3 
தெற்கே -- 98.2 
தென் -- 104.3, 140.1 
தென்கரை -- 18.4, 22.4, 26.4 
தென்பால் -- 13.1 
தென்மருதூர் -- 116.4 
தென்மருதூரில் -- 92.11 
தென்றல் -- 18.4, 127.2 
தேக்கி -- 44.7 
தேங்காயுங் -- 32.2 
தேங்குதலை -- 119.2 
தேடக் -- 49.2 
தேடி -- 2.6, 35.6, 74.4, 76.4, 90.4, 103.2, 134.2 
தேடிடும் -- 105.3 
தேடிவைத்தேன் -- 111.7 
தேடினால் -- 70.3 
தேடும் -- 19.3, 36.6 
தேய்த்தான் -- 57.4 
தேய -- 22.4 
தேர் -- 3.2 
தேர்க்காலில் -- 165.1 
தேர்ந்து -- 5.3 
தேர்ப்பால்_அழகர் -- 29.4 
தேவர் -- 3.7 
தேவரீர் -- 92.16, 105.4 
தேவரை -- 5.1 
தேவாதிதேவர் -- 27.1 
தேவியாய் -- 73.1 
தேளிமீன் -- 51.3 
தேற்ற -- 137.1 
தேற்றம் -- 58.3 
தேற்றுவரே -- 45.2 
தேறி -- 136.1 
தேறிய -- 1.5 
தேறும்படி -- 124.3 
தேனுக்குள் -- 87.3 
தைக -- 8.4 
தைச்சுப்போடுவேன் -- 63.3 
தைதுலக்கரணம் -- 113.1 
தையலி -- 131.6 
தொகுத்து -- 46.8 
தொட்டியர் -- 57.2 
தொட்டு -- 57.1 
தொட்டுப்பார் -- 93.3 
தொட -- 44.6 
தொடர்ந்தாய் -- 118.3 
தொடர்ந்து -- 116.1, 156.2 
தொடுத்தான் -- 88.8 
தொடுத்திடும் -- 85.5 
தொடுத்து -- 44.6 
தொடுப்பார் -- 138.6 
தொடும் -- 26.2 
தொடை -- 128.5 
தொடையும் -- 129.8 
தொண்டன் -- 167.1 
தொண்டி -- 134.4 
தொண்டைகட்ட -- 152.3 
தொல்லை -- 44.5 
தொழ -- 48.7 
தொழில்படு -- 134.3 
தொழிலினர் -- 4.3 
தொழுது -- 33.3,3, 78.1, 121.2 
தொழும் -- 92.2, 134.1 
தொளிக்கு -- 125.3 
தொளியில் -- 121.2 
தோணி -- 92.14 
தோணியை -- 36.3 
தோத்திரம் -- 33.3 
தோப்புக்கே -- 68.2 
தோய் -- 8.3 
தோய்ந்து -- 39.4 
தோயாரே -- 39.4 
தோயும் -- 39.4, 46.1 
தோலை -- 168.2 
தோள் -- 1.5, 119.3 
தோற்றம் -- 136.4 
தோற்றியதே -- 136.4 
தோற்றுதே -- 35.1 
தோன்ற -- 9.3, 10.7 
தோன்றாதோ -- 37.1 
தோன்றி -- 44.2,2 
தோன்றினனே -- 81.4 
தோன்றினாளே -- 6.8, 8.8 
தோன்றினானே -- 10.8 
நகையும் -- 133.5 
நஞ்சு_அனார் -- 129.1 
நஞ்சை -- 169.2 
நட்ட -- 9.3 
நட்டான் -- 122.2 
நட்பாக -- 4.7 
நட -- 135.4 
நடச்செய்தே -- 128.4, 129.4, 131.5, 132.4, 133.2, 134.3 
நடத்தி -- 60.1 
நடந்தானே -- 76.4 
நடவு -- 136.1 
நடவேணும் -- 124.2 
நடிக்கும் -- 129.1 
நடு -- 4.7, 135.4, 150.1,2,3,4,5,6 
நடுகை -- 126.8, 127.4 
நடுத்--தனை -- 85.7 
நடும் -- 127.3 
நடுவே -- 95.2 
நடை -- 128.7 
நடையும் -- 53.6 
நண்டு -- 35.5 
நண்ணியும் -- 44.5 
நத்து -- 4.7 
நதிக்கு -- 13.1 
நம் -- 50.7, 68.1 
நமக்கு -- 84.2 
நமக்கே -- 2.8 
நயினாத்தை -- 74.1 
நயினாத்தையார் -- 92.4 
நயினார் -- 60.2, 72.2 
நயினார்க்கும் -- 95.2 
நயினாரே -- 96.1 
நயினாரை -- 99.4 
நரிதான் -- 161.1 
நரை -- 82.3, 86.3 
நல் -- 4.8, 5.3, 31.2, 37.2, 43.3 
நல்ல -- 84.2 
நல்லான் -- 86.2 
நல்லி -- 126.3 
நன்றாக -- 172.1 
நன்றிக்கு -- 47.2 
நன்று -- 113.3, 118.1,1, 137.2 
நன்னி -- 126.3 
நனைத்துமே -- 46.4 
நா -- 1.4, 16.2, 90.5 
நாகி -- 126.4 
நாச்சி -- 126.4 
நாச்சியார் -- 92.9 
நாசியாரை -- 162.3 
நாசியும் -- 53.3 
நாட்டில் -- 31.2, 37.2, 124.1 
நாட்டு -- 13.7, 16.2 
நாட்டுக்குள் -- 169.1 
நாடி -- 51.2, 137.2 
நாடியே -- 70.2 
நாடு -- 30.3 
நாடும் -- 5.3, 19.2 
நாடே -- 17.4, 18.4, 21.4, 22.4, 25.4, 26.4 
நாதக்கோன் -- 83.7 
நாதன் -- 169.2 
நாம் -- 36.2 
நாமம் -- 82.2,2 
நாமே -- 174.2 
நாயனுமாய் -- 167.1 
நாயும் -- 157.2 
நால் -- 23.2, 43.3 
நாலாயிரம் -- 146.1 
நாலு -- 125.6, 168.1 
நாலுக்கு -- 74.3 
நாலும் -- 125.1 
நாவாணர்க்கும் -- 146.1 
நாவால் -- 27.2 
நாவி -- 156.4, 157.1,1 
நாழிகை -- 22.2 
நாள் -- 59.3, 75.3, 105.1, 111.1, 137.3 
நாளில் -- 14.4, 110.2 
நாளும் -- 122.2 
நாளேர் -- 111.8 
நாளை -- 35.1 
நாற்றம் -- 88.3 
நாற்று -- 122.2, 124.2, 129.4, 135.4 
நாற்றுக்கால் -- 127.4 
நாற்றுக்கும் -- 130.3 
நாற்றுப்பாவும் -- 92.5 
நாற்றை -- 123.1, 125.3,5 
நாறும் -- 124.1 
நான் -- 13.4, 14.4, 47.2, 57.2, 67.1, 74.4, 89.3, 90.6, 94.4, 96.3,4, 98.2, 100.3, 101.1, 102.2, 117.4, 155.1 
நானடா -- 83.8 
நானடி -- 157.2 
நானும் -- 154.1, 174.1 
நானூறும் -- 73.2 
நானே -- 13.8, 14.8, 15.8 
நிகர்த்து -- 44.8 
நிகழவே -- 48.4 
நிட்டூரம் -- 149.4 
நித்தம் -- 24.3 
நித்தமும் -- 134.1 
நிதி -- 24.3, 30.2 
நிரப்பி -- 137.4 
நிரை -- 137.4 
நிரையை -- 125.7 
நில்லாமல் -- 149.4 
நில -- 52.2 
நிலத்தில் -- 138.4 
நிலை -- 48.4, 120.1, 135.1, 138.3 
நிலைகொள்ளாமல் -- 131.7 
நிலைப்பு -- 90.3 
நிலையாது -- 60.3 
நிலையிட்ட -- 14.4 
நிற்கும் -- 26.3, 72.2, 92.14 
நிற -- 3.1 
நிறுத்தினது -- 83.6 
நிறுவி -- 137.4 
நின்ற -- 70.3, 120.1, 135.1, 138.4 
நின்றார் -- 128.3 
நின்றான் -- 162.2, 166.2,4 
நின்று -- 102.4, 132.1, 135.4, 140.3, 165.1,3 
நினைந்தே -- 52.2 
நினைப்பதும் -- 90.4 
நீ -- 62.2, 93.1, 95.3, 98.2, 101.3, 118.3, 154.3, 171.2 
நீக்கியே -- 48.5 
நீக்கு -- 56.3 
நீக்கும் -- 6.4 
நீங்கி -- 119.3 
நீச்சுக்கு -- 90.3 
நீட்டி -- 130.7, 136.3 
நீதி -- 23.2 
நீதியோ -- 101.1 
நீயடி -- 157.2 
நீயும் -- 160.3, 174.1 
நீர் -- 43.2,3, 47.4, 50.1, 51.1, 78.1 
நீர்ப்படு -- 35.4 
நீல -- 8.6, 10.4, 69.3 
நீலன் -- 56.3, 166.4 
நீலியை -- 73.1 
நீள் -- 74.2 
நீற்று -- 8.2 
நீறு -- 53.3 
நுகம் -- 74.3, 110.3 
நுகம்--தன்னைத் -- 74.3 
நுதல் -- 8.2 
நுரை -- 82.4 
நுழை -- 48.3 
நுழையப்பட்டு -- 48.3 
நூல் -- 82.3 
நூவி -- 126.5 
நூவி--தன் -- 133.4 
நெகிழ்ந்த -- 6.2, 129.8 
நெஞ்சில் -- 14.3, 99.3 
நெஞ்சு -- 8.5, 157.4 
நெட்டு -- 2.3 
நெட்டைத் -- 142.1 
நெட்டையன் -- 134.5 
நெடிதில் -- 138.3 
நெடு -- 166.4 
நெடும் -- 30.4, 175.1 
நெடுமால் -- 47.2 
நெடுமூக்கன் -- 108.2 
நெய் -- 21.2 
நெய்தல் -- 46.8 
நெய்தலை -- 48.1,1 
நெய்யில் -- 162.4 
நெரித்த -- 53.4 
நெரித்தான் -- 120.2 
நெருக்கு -- 128.6 
நெருக்கும் -- 23.1,2 
நெருங்காமல் -- 125.8 
நெருங்கி -- 137.4 
நெருபு -- 99.3 
நெல் -- 15.7, 57.4, 69.2, 142.1, 143.2, 144.2, 145.2,2, 146.2, 147.1,2 
நெல்லு -- 139.2 
நெல்லுடன் -- 151.4 
நெல்லும் -- 148.2, 151.3,7 
நெளியும் -- 50.3 
நெற்றி -- 82.1 
நெற்றியில் -- 6.1, 125.5 
நெற்றியை -- 44.6 
நெறி -- 1.8 
நேமி -- 53.7 
நேர்ந்து -- 48.8 
நேரும் -- 142.2 
நேற்று -- 59.4 
நேற்றும் -- 35.3 
நொடியில் -- 64.4 
நோக்காலை -- 133.7 
நோக்கி -- 125.6 
பக்கத்தில் -- 134.7 
பக்கமே -- 15.5, 36.5 
பக்குவம் -- 101.1 
பக -- 8.4 
பகட்டு -- 46.2 
பகடு -- 138.5 
பகர் -- 1.8 
பகர்வாரை -- 2.5 
பகல் -- 74.4, 79.2 
பகுதியும் -- 92.8 
பகுந்து -- 48.3 
பகை -- 99.3 
பகைக்கு -- 1.6 
பங்கயம் -- 26.1 
பங்கிட்டு -- 70.1 
பங்கு -- 151.7, 162.1 
பங்குனி -- 143.1 
பச்சை -- 26.1, 146.1 
பசந்து -- 136.1 
பசப்பும் -- 136.1 
பசலி -- 50.4 
பசிக்கு -- 135.1, 169.1 
பசித்தால் -- 171.3 
பசு -- 128.3, 165.1 
பசுக்காத்தான் -- 109.6 
பசுங்கழையின் -- 40.4 
பசும் -- 86.7 
பசுவையும் -- 86.6 
பஞ்சலை -- 50.6 
பஞ்சலைமீன் -- 8.3 
பஞ்சவர்ணத்து -- 8.7 
பஞ்சாங்கம் -- 113.2 
பஞ்சில் -- 99.3 
பட்சி -- 170.3 
பட்சேரி -- 34.2 
பட்டடை -- 57.4 
பட்டா -- 98.3 
பட்டாங்கும் -- 6.7 
பட்டிகளும் -- 79.2 
பட்டினம் -- 48.3 
பட்டை -- 82.2 
பட்டோலைக்கு -- 4.6 
படத்தை -- 128.6 
படமிடும் -- 8.1 
படல் -- 36.3 
படலைக்கொம்பன் -- 109.6 
படி -- 143.1 
படிக்கும் -- 139.4 
படிதர -- 19.1 
படிந்திட -- 40.3 
படிந்து -- 38.2 
படியில் -- 138.5 
படுத்த -- 118.7 
படுத்திடும் -- 85.3 
படும் -- 21.2 
படை -- 42.4, 128.1 
படைக்கு -- 92.12 
படைக்கும் -- 24.3 
படைத்திடாமை -- 48.4 
படைதொடுத்து -- 84.4 
படைப்புப்பிடுங்கி -- 109.5 
பண்டி -- 134.4 
பண்டு -- 68.1, 82.5, 128.2, 162.3, 168.3 
பண்டே -- 13.6 
பண்ணவர் -- 41.1 
பண்ணவனார் -- 31.2 
பண்ணாங்கும் -- 50.4 
பண்ணியும் -- 44.5 
பண்ணும் -- 33.3,3 
பண்ணை -- 14.4, 34.2, 35.7, 36.7, 50.3, 65.3, 67.4, 76.1,3, 77.1, 83.7, 84.3, 91.1, 95.2, 99.4, 101.4, 102.4, 104.2, 105.2,4, 107.3, 117.8, 118.8, 123.2, 124.3, 127.3, 131.3, 133.2, 141.1, 144.1, 148.2, 150.1,2,3,4,5,6 
பண்ணைக்காரன் -- 65.1, 75.1, 93.3, 113.7, 137.1 
பண்ணைக்காரனார் -- 53.8, 54.8, 139.8 
பண்ணைக்காரனுக்கு -- 97.3 
பண்ணைக்காரனுடனே -- 140.3 
பண்ணைக்கு -- 71.1, 113.6 
பண்ணைக்கே -- 92.11 
பண்ணையார்க்கு -- 100.2, 152.4 
பண்ணையான் -- 61.3, 66.1, 112.3 
பண்ணையானோடு -- 55.2 
பண்ணையிலே -- 140.1 
பண்ணைவிசாரிப்பான் -- 52.4 
பண்ணை--தனில் -- 5.3 
பணத்துக்கே -- 83.5 
பணம் -- 87.3, 88.7, 89.1 
பணி -- 113.5, 124.4 
பணிகள் -- 38.5, 130.6 
பணிகொண்டு -- 38.1 
பணியான் -- 88.1 
பணிவிடைசெய -- 1.7 
பணை -- 46.1 
பத்தர் -- 113.5 
பத்தாக -- 4.5 
பத்தாளில் -- 4.5 
பத்தி -- 34.2 
பத்தித்தடியும் -- 92.10 
பத்திலே -- 13.5 
பத்து -- 66.1 
பததை -- 125.5 
பதறவே -- 46.3 
பதறியே -- 85.4 
பதனம் -- 87.8 
பதனம்பண்ணி -- 110.7 
பதி -- 1.6, 2.7, 42.4, 89.1 
பதிந்த -- 136.1 
பதிநூற்றெட்டும் -- 11.5 
பதியில் -- 24.3 
பதியும் -- 125.8 
பதியை -- 51.2 
பதினெட்டு -- 82.2 
பதினொன்றாக -- 13.5 
பது -- 133.1 
பதுங்க -- 18.2, 38.5 
பதுங்கி -- 89.7 
பதைத்து -- 50.3 
பந்தமும் -- 36.6 
பந்திப்படுத்தி -- 125.7 
பயப்பட -- 81.1 
பயபட -- 90.7 
பயம் -- 153.1 
பயிர் -- 9.4, 105.2, 124.2, 125.8 
பயிராம் -- 87.7 
பயிரிட்டு -- 92.3 
