கபிலர் அகவல் சொல்லடைவு
பாவனைமந்திரம் - 6.1 
பிழையெனப்படாது - 12.7 
பிறந்தவசிட்டரும் - 8.9 
பிறப்பினில்வேறே - 6.12 
பிறப்புநலந்தருமோ - 12.9 
பிறப்புமொன்றே - 11.11 
புத்திரராயினோர் - 7.11 
புந்தினைந்தழுவது - 5.9 
புலைச்சியரீன்ற - 7.10 
புலையனாவான் - 8.7 
புலையுங்கொலையுங் - 12.4 
புனலிடைமூழ்கி - 5.8 
பூசுரர்ப்புணர்ந்து - 7.10 
பூசுரரல்லரோ - 7.11 
பெண்பானால்லர் - 9.8 
பெண்முதிதோ - 1.3 
பெருக்காற்றிடிகரை - 3.4 
பெருக்காறொத்ததுசெல்வம் - 3.4 
பெற்றமுமெருமையும் - 6.12; 7.12 
பேணியுரைப்பது - 12.7 
பேதமாய்த்தோன்றல்போல் - 7.12 
பேதையந்தணரே. - 12.9 
பொடிபடச்சுட்டு - 5.8 
பொய்ச்சாவுசாவரோ - 1.8 
பொருடரப்போகான் - 4.4 
போகான் - 4.4 
போய்த்தமரோடும் - 5.9 
போற்றவும் - 4.4 
மக்கட்பிறப்பிலீர் - 7.3 
மனிதர்க்குவயது - 2.9 
மாட்டேனென்னுமோ - 11.4 
மாதவராகி - 9.2 
மாந்தரிற்பேதமாம் - 8.1 
மாரிதான்சிலரை - 11.2 
மாறிவேறாகும் - 7.9 
மானிலஞ்சுமக்க - 11.4 
முற்படைப்பதனில் - 6.9 
முன்னோருரைத்த - 12.2 
மேல்வகைகீழ்வகை - 6.11 
மேன்மைப்பட்டு - 9.1 
மொழிதவறாமல் - 12.2 
யவனர்சீனத்தர் - 6.7 
யாம்பகவற்கூழ் - 9.3 
யாம்வளர்திறஞ்சிறி - 9.9 
யானும்வளர்ந்தேன் - 11.1 
யொத்ததிளமை - 3.5 
வசிட்டருக்குச்சண்டாளி - 8.10 
வடதிசைக்கேகில் - 8.4 
வடதிசைப்பார்ப்பான் - 8.6 
வடிவெவர்கண்டுளார் - 8.1 
வண்டமிழ்மயிலையில் - 10.7 
வண்ணமோடறிவினில் - 8.2 
வண்ணாரகந்தனில் - 9.11 
வண்மலைச்சாரலில் - 10.6 
வயங்கினரன்றோ - 9.2 
வயற்றிற்பிறந்தசத்தியரும் - 8.10 
வயிற்றிற்பிறந்தவியாசரும் - 8.12 
வரைந்துபெய்யுமோ - 11.2 
வழக்கமொன்றிலையே - 7.9 
வழிபடுதெய்வமும் - 12.1 
வள்ளிவளர்ந்தனள் - 10.6 
வள்ளுவர்வளர்ந்தனர் - 10.9 
வாய்ப்பறையறைந்து - 2.7 
வாழ்நாளுறுப்புமெய் - 8.2 
விளங்குவதொழுக்கால் - 6.11 
வெளிப்படலின்றே - 8.3 
வேதங்களோதி - 9.1 
வேளாண்மரபுயர் - 10.8 
வேற்றுடம்பாகுமோ - 2.4 
வேற்றுமையாவதும் - 8.3 
வேறாகியமுறமைபோல் - 6.9 
றோதுவீராகில் - 4.12 
